,location,company_name,job_title,summary,full_info
256,London SE1,Social Finance Limited,Analyst,"The Social Finance Analyst Programme is open to all applicants who have a university degree or equivalent professional experience, working in research, analysis…","The Social Finance Analyst Programme The Social Finance Analyst Programme is open to all applicants who have a university degree or equivalent professional experience, working in research, analysis, field-work, operations or finance, whether in the public, private or charity sector, as an employee or an apprentice.Social Finance is an entrepreneurial, forward-thinking company looking for the next generation of social innovators to start their journey on our Analyst Programme. The Programme is ca. three years in duration and consists of a minimum of 2-3 rotations across business lines. Training, both on the job and in group settings, coaching and mentorship opportunities are used to equip you with the skills and experience required to build your career.We are looking for individuals who are:· Passionate about making a difference· Intellectually curious· Innovative thinkers, willing to challenge the status quo· Self-motivated, adaptable and confident to work independently· Team players who can build good working relationships with a variety of internal and external partnersWe work at the intersection of public services, user data, digital tools, and philanthropic and private investment, and ask questions like:· Where should governments, donors and philanthropy focus their efforts to improve society?· How do you design public services that can respond to changing user needs and stay focused on meaningful outcomes?· How can data and digital tools be used to support better decision-making?· How do you align financial success with social impact?· And, how do you avoid introducing ethical, social, or cultural bias into solutions and services?You will need to show potential and interest in the following areas, which will be developed over the course of the programme. You are not expected to arrive with a full skillset, as you will be supported to learn:· Data & analytical skills – you have an aptitude for numerical information and analysis, including the ability to collect, gather and analyse information. You show attention to detail and can quality control your own work to produce accurate and reliable outputs in PowerPoint, Excel and Word. During the programme, you will learn how to create the financial and operational models that support our work, drawing from comparable models in the business, social and development sectors.· Problem solving – you are able to look at a problem creatively and suggest alternative, viable solutions.· Project management – you can document and organise your work, are able to prioritise and plan your own work streams, communicate project progress effectively, and invest your time appropriately to create high-quality products and meet deadlines reliably.· Communication & relationship building – you have excellent writing, listening and inter-personal skills, can summarise and share information effectively, and are able to develop insightful presentations of findings and conclusions. During the programme, you will learn how to establish, support and build strong relationships within and outside Social Finance.· Team work – you work well in teams and independently, are receptive to feedback and use it to continually improve.· User Research & Design Thinking – you can design, coordinate and implement research plans to understand service users and their needs. You can synthesise research data to build clear pictures of potential service users to feed into project/product design.About your work hereAs an Analyst, you will work on various types of projects, supported by a more senior member of staff. Social Finance aims to create social change in partnership with like-minded organisations, and we use various avenues to do this:· Systems thinking and design – developing innovative and long-lasting ways of solving social issues, ranging from new funding models, to policy approaches, to service re-design solutions. For example, we have brought together several front-line charities to design a new programme of behaviour change to reduce domestic violence that is being scaled with support from the Home Office.· Data analysis and research – from carrying out detailed data analysis to understand complex social issues, to conducting market research to advise investors on how they can generate a social and financial return, to helping government use their data effectively to make better decisions. For example, we draw together multiple data sets to identify which groups of young people are most at risk of poor long-term outcomes, such as unemployment, and use our conclusions to influence policy.· Advisory work – assisting social sector and development organisations, and governments worldwide, to create new approaches to services and innovative funding mechanisms to underpin them. For example, we work with Local Authorities to design contracts based on the achievement of social outcomes to prevent young people going into care.· Market building – from developing national strategies to create and develop SIB markets, to designing knowledge platforms that support the sharing of learning, to building the capacity of other players in the market to help replicate our work. For example, we work with governments and donors all over the globe to help create outcome-focused funds to improve the quality of primary and secondary education.· Operational support -Individual Placement and Support (IPS) supports people with serious health difficulties to find and keep a job in an area that they are passionate about. We are working with NHS England to expand the number of people who have access to high quality IPS. We provide hands-on operational support to services, create and deliver free training and develop tools to help providers monitor their own performance.· Fund management – from supporting the development of an investment pipeline and carrying out due diligence on potential investments,to monitoring the performance of existing investments and supporting investees achieve their targets. For example, we manage a social investment fund in the health & care space which invests in social enterprises and projects with the aim of improving community health and wellbeing.· Partnership building and relationship management- from working with frontline delivery partners, to coordinating with a range of local authority partners, to bringing together diverse sets of funders and investors. For example, through a collective impact model, the Black Thrive initiative is bringing together the council, health commissioners, charities and community groups in Lambeth to tackle high rates of mental illness amongst the local black community.To view the full job description, and for all relevant forms for submitting an application, please visit our website: https://www.socialfinance.org.uk/social-finance-analyst-programmeApplicationTo apply for the Social Finance Analyst Programme please complete our application form and submit with your CV.Candidates who do not complete the application form will not be considered for this role.We would be very grateful if you would also complete our Diversity Monitoring Form and return with your application.Shortlisted candidates will have a first-round interview, which will take place over the phone. Successful candidates will be invited to an assessment, where they will complete a case study exercise and interviews with several team members. Candidates who are successful at assessment will then have a final stage interview, generally with HR. Applicants should expect to be tested on:· Critical thinking, problem solving and numerical abilities· Presentation and communication skills· Knowledge of Social Finance and the social investment sectorShould you require any reasonable adjustments to allow you to attend an interview, please highlight this when you are invited.Closing date for applications: 14 June 2020Social Finance is actively looking to broaden the diversity within our organisation, to mirror the diverse populations that we work with and for. We encourage candidates with a range of work and life experiences to apply.__**Job posted 07/05/2020Job Types: Full-time, PermanentWork remotely:Temporarily due to COVID-19"
257,London,Lloyds Banking Group,Global Transaction Banking Analyst - Apprenticeship,"We support their growth by unlocking cash tied up in working capital, mitigating risk and providing finance.
Your learning and development will be supported by…","Please note, this site is only for external candidate applications. If you currently work for Lloyds Banking Group please apply via the internal career site.
Please note: In order to complete an apprenticeship there needs to be a significant learning need. You need to consider your previous qualifications or significant relevant work experience which may mean you cannot proceed with this application.
End Date
Friday 22 May 2020
Salary Range
£25,245 - £28,050

Agile Working Options
Other Agile Working Arrangements / Open to Discussion
Job Description Summary
Lloyds Banking Group is looking to hire driven apprentices in its Commercial Banking Global Transaction Banking division. This is your opportunity to join a product specialist apprenticeship programme and to operate in a deeply dynamic and exciting environment.
Job Description
About the Programme
Starting in Autumn 2020, the Global Transaction Banking apprenticeship programme is a higher apprentice programme providing a fully paid Level 6 Chartered Banker Professional qualification over a 3-year duration, as well as an invaluable professional experience in very exciting roles.
Over the duration of the programme, apprentices will have the opportunity to align to a specialist product solution within Global Transaction Banking and rotate through operational delivery, product management and client facing roles in order to build a confirmed knowledge in that specific product specialism and to experience working with various teams. Your learning and development will be supported by a structured training programme.
Product specialisms include Cash Management & Payments, Merchant Acquiring, Treasury Services, Invoice Finance, Trade Finance and Asset Finance, with a brief description on each below.
Invoice Finance (Banbury) : Supporting clients to grow by speeding up their working capital cycle, providing additional funding to underpin business growth ambitions.
Asset Finance (Glasgow) : Helping clients to invest in business critical assets as well as manage their capital expenditure.
Trade (London) : Connecting our clients to over 100 countries worldwide, using partner banks to support our client’s global trade needs.
Cash Management & Payments (London) : Providing clients with core domestic and international payments capabilities, including a world-class payments platform and a broad suite of products.
Liquidity (London) : Supporting Commercial clients to optimise the return on their business cash, balancing the need for short term access vs a desire to enhance return on free cash flow.
Merchant Acquiring (Basildon) : For clients who accept card payments, be that in their store, online or via their mobile app, Lloyds Bank Cardnet provides innovative payment technology to support businesses of all sizes.
Throughout the 3 year scheme you will receive in depth experience in a single product, and will be based in that product’s primary location (in brackets above). The product you are placed in will be decided dependant on where you are currently based (for internal applicants) or where you currently live (for external applicants). If you do have a specific location preference (from those listed), then please include this in your application covering letter.
Job Description
Global Transaction Banking works across Lloyds Commercial Banking to help clients operate and grow. We power our clients' businesses by helping them manage their day-to-day transactions efficiently. We support their growth by unlocking cash tied up in working capital, mitigating risk and providing finance.
Global Transaction Banking consists of multiple specialist product solutions including Cash Management & Payments, Merchant Acquiring, Treasury Services, Invoice Finance, Trade Finance and Asset Finance.
Global Transaction Banking is aligned with the Bank’s vision of being the Best Bank for Clients across all segments from SME, Mid and Global Corporates to Financial Institutions. We look to develop the best team in the Market through investing in our talent.
Entry requirements
Grade C or above in at least five GCSEs including English and Mathematics
104 UCAS points, or equivalent
You will undertake an assessment centre as part of the selection process.
Salary
Outside London: £22,950
In London: £25,245
Benefits
In return, we’ll offer you a competitive package which includes salary, bonus, a generous pension contribution, an attractive path of progression, and flex cash to spend on a host of benefits to suit your lifestyle. We have a long track record of flexible working and we’re always open to new ways to improve our people’s work-life balance, therefore open to discussion on working patterns and working hours.
Lloyds Banking Group is committed to building a workforce which reflects the diversity of the customers and communities we serve, and to creating an inclusive workplace where all our colleagues can be themselves and succeed on merit.
Join us and be part of an inclusive, values-led culture passionate about making a difference. Whatever your dream, you can also expect excellent benefits, personal development and a career that’s enriching and full of opportunity.
Apprenticeships worth discovering
At Lloyds Banking Group, we're driven by a clear purpose; to help Britain prosper. Across the Group, our colleagues are focused on making a difference to customers, businesses and communities. With us you'll have a key role to play in shaping the financial services of the future, whilst the scale and reach of our Group means you'll have many opportunities to learn, grow and develop.
We're focused on creating a values-led culture and are committed to building a workforce which reflects the diversity of the customers and communities we serve. Together we’re building a truly inclusive workplace where all of our colleagues have the opportunity to make a real difference.
Please note if we receive a large volume of applications the advertising may close earlier, so don’t delay in submitting your application.
At Lloyds Banking Group, we're driven by a clear purpose; to help Britain prosper. Across the Group, our colleagues are focused on making a difference to customers, businesses and communities. With us you'll have a key role to play in shaping the financial services of the future, whilst the scale and reach of our Group means you'll have many opportunities to learn, grow and develop.
We're focused on creating a values-led culture and are committed to building a workforce which reflects the diversity of the customers and communities we serve. Together we’re building a truly inclusive workplace where all of our colleagues have the opportunity to make a real difference."
258,London E1W 1YW,St Mungo's,Finance Business Partner - Capital,"Contribute to the continuous improvement of the finance team’s procedures and processes.
Be CCAB qualified and will have played a significant role in the…","Are you a qualified finance professional with a desire to develop your career in capital accounting?

At St Mungo’s we have a fantastic opportunity for a Finance Business Partner - Capital to join the Finance team responsible for supporting operations and central services managers in designing, monitoring and reporting against their investment plans.

About the role

As a Housing Association and a homeless charity our clients and their access to safe and effective services is at the heart of what we do. Ensuring our capital projects align with our operational priorities is core to this. Key responsibilities will include:

Preparation and interpretation of monthly capital accounts.
Complete St Mungo’s budget setting, forecast and capital accounting activities including input into the 5 year strategic plan.
Provide finance support to Property Services, Property Development and teams undertaking investment projects by providing timely and accurate reports, meaningful commentary and advice.
Support teams delivering investment projects by preparing investment models and providing financial challenge to investment papers.
Contribute to the continuous improvement of the finance team’s procedures and processes

Provide technical insight into capital accounting under FRS102, the housing SORP and Housing regulations.

What we’re looking for

To succeed in this role you will:
Be CCAB qualified and will have played a significant role in the preparation of capital investment models for a provider of low margin services.
Have experience of using finance software to interpret financial performance, strong data analytical skills, and be able to write clear and concise reports tailored to the needs of financial and non-financial individuals.
Have good analytical, influencing and negotiation skills are essential as you will be supporting Capital teams in preparing and monitoring the performance of investment projects against approved budgets.
Be happy working under pressure and to tight deadlines.
Be a strong team member supporting the wider finance team in the review and development of policies, procedures and systems to meet changing business needs

If you believe that you have the skills, knowledge and drive that we are looking for, and a passion for working for a charity that makes a real difference to the lives of homeless people, we would love to hear from you.

What we offer

Excellent Development and Growth Opportunities

St Mungo’s employees are encouraged to consider opportunities to develop new skills or progress including; secondments, internal transfers, application to new roles in the organisation or just to get involved in various projects happening within the organisation.

As a result last year 35% of our vacancies were filled by promotions. In 2019 we achieved We Invest in People Gold level accreditation and are one of just 3% of housing associations to achieve this standard; 82% of staff who took part in the IIP survey say St Mungo’s is a great place to work.

A Diverse and Inclusive Work Place

At St Mungo’s, equality, diversity and inclusion are central to the organisation's values and how we work. We are proud of our commitment to diversity and inclusion and have 7 great Diversity Networks to support clients and staff from different backgrounds so they are able to be their best selves. Our Networks include: BAME, Carer’s and Parent’s, Lived Experience, LGBTQIA+, Disability Awareness, Irish and Women’s Action.

We particularly welcome applications from Black, Asian and Minority Ethnic (BAME) applicants, as they are under-represented within St Mungo’s at more senior levels.

Flexible Working and Other Benefits

We are committed to maintaining your work/life balance. We offer 25 days annual leave, and operate a very popular Flexi Time scheme, which allows you to supplement your annual leave entitlement. After 5 years, staff annual leave entitlement increases to 28 days.

St Mungo’s contribute 4% of your gross annual salary, and you are able to enrol in the Defined Contribution scheme following a successful probationary period in which the employer contribution is 6%.

There is scope for this role to be part-time with a minimum of 3 days per week and pro-rata salary.

What we do

At St Mungo’s our vision is that everyone has a place to call home and can fulfil their hopes and ambitions. As a homelessness charity and housing association, our clients are at the heart of what we do, and in 2019 we supported nearly 30,000 people who were either homeless or at risk of becoming homeless. Our staff are crucial to making this happen.

How to apply

To view the job description and guidance on completing your application form, please click on the document available tab at the top of the advert page on our website.

Closing date: 10am on 2nd June 2020

Interview and assessments on: Tuesday 16th to Friday 19th June 2020

Please be advised that all appointments will be made on St Mungo’s current standard Terms and Conditions (T&Cs); this also applies to any internal candidates."
259,London,Munich Re Speciality Group Ltd,Accounts Payable Clerk,"Minimum of 1+ years in a finance role - Accounts Payable.
The role will suit an partly-qualified accountant who is looking to work in an ethical and driven work…","Accounts Payable Clerk (m/f/d)
We are looking for an experienced accounts payable professional to join our team. To be able to take on this position, you will be confident, articulate with excellent written and organisational skills, with a good understanding of the account payable function. The role will suit an partly-qualified accountant who is looking to work in an ethical and driven work environment.
Location

London , United Kingdom
To effectively and efficiently process the Vendor invoices, reconcile Vendor sub-ledger on a regular basis to statements of account, effectively liaise with Vendors as appropriate and process effectively and efficiently the internal employee expense processes providing an effective service.
Your job
We are looking for an experienced accounts payable professional to join our team. To be able to take on this position, you will be confident, articulate with excellent written and organisational skills, with a good understanding of the account payable function. The role will suit an partly-qualified accountant who is looking to work in an ethical and driven work environment. The role:
Responsible of processing Employee Expense in line with the company's Travel and Entertainment policy,
Responsible of processing purchase invoices in line with the company’s policy, including checking cost centre and General ledger coding to ensure accurate reporting,
Prepare, process and record payment runs,
Dealing with internal and supplier queries relating to invoices and payments,
Clearing vendor and discrepancies balances,
Monthly & quarterly reconciliations, including Bank, control accounts, vendor, payroll, season ticket loan, credit cards,
Ensuring that the internal control mandates are up to date with all appropriate signatures obtained,
Completing monthly/quarterly KPI schedules with appropriate analysis and commentary,
Assisting with intercompany recharges and funding,
Ensure all AP processes are documented effectively, detailing areas of financial judgement,
Pursue accounts payable process improvements, creating more robust controls and driving efficiencies,
Assisting in other areas of the team where appropriate and any other ad-hoc task as assigned,
Assisting the Senior FP&A Accountant with ad-hoc projects.
Help drive forward good Conduct for the business to deliver the best outcomes for customers / policyholders.

Your profile
Minimum of 1+ years in a finance role - Accounts Payable.
GCSE Maths, English B or higher minimum, Preferably A-Levels
Intermediate use of Mircrosoft Products desirable (Outlook, Excel and Word).
Would suit a person looking to build a career in Finance and who is looking to study towards an accounting qualification.
Good organisational skills and prioritisation and high attention to detail

About us
MRSG UK Services Limited is the employing entity for staff supporting the business activities of Munich Re Syndicate Limited (MRSL), Munich Re Specialty Group Limited (MRSG), Groves, John & Westrup Ltd (GJW), NMU (Specialty) Ltd (NMU) and Roanoke International Brokers Limited (RIBL). As well as operating in the Lloyd’s of London market, we conduct our business via a global network of service companies, with offices located in the UK, Ireland, the United States, Asia, including Hong Kong, Singapore, Labuan and Dubai. We are also represented in Lloyd’s China. Our group of companies provide solutions covering Casualty, Marine & Cargo, Energy & Aerospace, Cyber, Political Violence, Trade Credit and Property, Contingency and Yacht. Known for our dedication to excellence and quality of service provision, we pride ourselves on offering you a great place to work. Munich Re’s employees are the backbone of the Group’s business success. They are the people that drive the business forward and develop new solutions for our clients. Ensuring that we recruit talented staff is therefore crucial to our future success. Our objective is to make Munich Re the employer of choice for potential employees on the global job market.. To help us achieve this goal we offer a competitive salary and a generous and comprehensive benefits package which we regularly review in accordance with external market data, to ensure you are paid fairly and our benefits are tailored to suit your lifestyle. Creating an inclusive environment is an essential part of the Munich Re culture and we are committed to our Diversity & Inclusion Policy. We also seek to provide a fair and supportive work environment which provides learning and development opportunities for all. Please Note: All applications must be received via the website. Any CVs received via email will not be considered. Re_think, Re_engineer, Re_define, Re_invent, the boundaries of Insurance. Once you hit apply, there is a short, 10 minute application form to complete. Please ensure you attach your current CV when applying and include details regarding your salary expectations. If you have a disability or special need that requires accommodation, please let us know. Due to the high volume, we cannot always provide detailed feedback at CV stage.
Neelam Thakrar
Associate HR Business Partner
Apply now! Apply for this Job!"
260,London,Bank of America,"Analyst, Investment Banking","Educated to degree level (preferably in a numerical discipline such as economics or finance).
Actively contribute to the preparation of client presentations and…","Role Description:
Actively contribute to the preparation of client presentations and underlying financial analysis
Assist teams of professionals across the bank, including senior bankers within your group, experts in other areas of the firm, and colleagues around the globe
Work closely with clients, lawyers and representatives from other investment banks to execute transactions
Perform valuation, financial and deal structuring analyses
Research on companies and industries and support on client initiatives including generating and developing new ideas to present
Formulate and develop client pitch-books and analysis in addition to supporting other bankers within the team
Provide support in maintaining financial models, coordinating due diligence and diligently managing related processes
Qualifications:
Educated to degree level (preferably in a numerical discipline such as economics or finance)
Skills:
Strong mathematical and analytical skills are required
Proficient level of MS Excel and PowerPoint
Fluency in English is essential and a second European language a plus
Meticulous attention to detail, diligence and conscientiousness
Strong interpersonal communication skills
Capable of working effectively both independently and with multiple teams/individuals
Fluent in English
Competencies:
Job-specific/Technical competencies:
Ability to analyze complex client financial objectives, accounting or tax issues and alternative solutions or approaches
Ability to develop and maintain financial models
Strong understanding of Global Corporate and Investment Banking
Behavioural competencies:
Dedication and Productivity: Takes personal responsibility for the quality and timeliness of work, and achieves results with little oversight.
Examples include, but are not limited to:
Keeps up to date regarding the policies, practices, trends and technology affecting the bank and his/her area/function
Reliable and able to deliver high-quality work on time
Demonstrates the desire to learn and has positive attitude
Analytical and Problem-solving skills: Examines data to grasp issues, draw conclusions, and solve problems.
Examples include, but are not limited to:
Identifies, articulates and implements solutions to problems
Understands clients goals and objectives
Regularly puts forward ideas for improving standards and processes
Communication and Interpersonal skills: Influences decisions and outcomes through effective communications
Examples include, but are not limited to:
Superior written and verbal communication skills
Presents work clearly and succinctly
Demonstrates self awareness
Teamwork: Promotes cooperation and commitment within a team to achieve goals and deliverables.
Examples include, but are not limited to:
Anticipates and proactively addresses the needs of team members
Collaborates well with others
Integrity and Ethics: Earns others’ trust and respect through consistent honesty and professionalism in all interactions.
Knows when and how to escalate potential risk issues
Respects and maintains confidentiality
Is honest in all dealing
Protects the Company’s reputation by acting ethically, legally, and in compliance with all policies and standards
Package: Competitive base salary + discretionary incentive + benefits package
Application closing date: 04/06/2020
Application posting date: 05/05/2020"
261,London EC4A 2BB,Goldman Sachs,"Executive Office, Government Affairs, Analyst, London","Monitoring political, policy and regulatory developments which may impact the firm or key clients.
Preparing briefings and presentations for internal…","MORE ABOUT THIS JOB:
EXECUTIVE OFFICE

The Executive Office plays an integral role in setting and advancing Goldman Sachs’ strategy and in supporting and enhancing the firm’s distinctive culture. Our goal is to provide our people, clients, shareholders and the broader public with information about the breadth of our global efforts, highlight our focus on delivering sustainable, long-term returns for our shareholders and demonstrate our commitment to making an impact on the communities where we live and work and on society more broadly.
RESPONSIBILITIES AND QUALIFICATIONS:
Executive Office, Government Affairs, Analyst, London

The Office of Government Affairs aims to advance the firm's public policy agenda, promote constructive relations with governments and regulators, and serve as a source of information inside the firm about government and public policy.

The position will report to the Head of Government Affairs EMEA. The Analyst will be based in London and work closely alongside Government Affairs professionals in London, Brussels and Frankfurt.

This position provides the appropriate candidate with a unique opportunity to work with colleagues throughout the firm on matters critical to the firm's relationships with key government officials, and to advance the firm's commercial strategy.

Responsibilities:
Monitoring political, policy and regulatory developments which may impact the firm or key clients
Preparing briefings and presentations for internal stakeholders, including management and key business areas
Assisting with the execution of the Government Affairs team strategic activity
Tracking external engagements, undertaking analysis, and providing team updates
The successful applicant will have:
A strong academic record coupled with a 'can do attitude'
Excellent written and oral communication skills in English, supplemented by exceptional power point skills
Desire to use every opportunity to learn and grow
Self-starter with positive energy and an ability to juggle multiple tasks to tight deadlines
Someone who takes pride in their work with a high attention to detail and thrives in a dynamic environment
Ability to work collaboratively as part of a team, while taking responsibility to drive work forward
A genuine interest in political / policy / regulatory developments
Excellent inter-personal skills and ability to work with internal stakeholders of different seniority

ABOUT GOLDMAN SACHS:
ABOUT GOLDMAN SACHS
At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.


We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.


We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.html
© The Goldman Sachs Group, Inc., 2020. All rights reserved.
Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Veteran/Sexual Orientation/Gender Identity"
262,London,Greenwich Partners,"Trainee equity research analyst, European Pharmaceuticals, major bank",The role will work with one of the most successful teams and work with the senior analysts on writing equity research for their hedge funds and asset management…,"Our client is a major investment bank. They are now looking to add an equity research associate to their pharmaceuticals equity research team. The role will work with one of the most successful teams and work with the senior analysts on writing equity research for their hedge funds and asset management client base. You will work with the lead analysts on the following responsibilities: - Writing pieces of equity research on European Pharma companies - Speaking with clients about your recommendations - Financial modelling, valuations, financial analysis - Listening to newsflow, updating financial models, keeping the team up to date with developments - Company and client visits They are interested in meeting with people who will have a background as follows: - up to 2 years experience - background in consulting, banking, research, medicine, doctor - we would also consider graduates with some internship experience or graduates who have run investment clubs at university - superb academic background with a relevant degree in biology, medicine or similar"
263,East London,Essential Employment,Finance Officer,"This is working full time hours on a temporary basis.
The ideal person will have SAPand LA experience.","Description
Finance Officer needed in East London £16.04ph ref 389700

This is working full time hours on a temporary basis.

The ideal person will have SAPand LA experience."
264,London,Page Personnel - UK,Charity Finance Assistant,"Preparing invoices, including grant claims.
Banking of cheques & cash as required.
Processing BACS and cheque payments.
Controlling debit card & petty cash.","A Mental Health charity based in Central London, with good access to public transport.

Job Description
Preparing invoices, including grant claims.Claiming Gift AidBanking of cheques & cash as requiredProcessing BACS and cheque paymentsPay role & pension processingBank reconciliationControlling debit card & petty cashChecking and maintaining files for direct debit payments

The Successful Applicant
An entry level role,

Candidates need to have previous exposure to working in a Charity, interim Excel and good written skills

What's on Offer
£12-14ph"
265,London,KennedyPearce Consulting,Payroll and Finance Assistant,"Dealing with internal staff payroll queries.
Payroll (70%) and Finance Assistant (30%) position available for a candidate on a short term notice.","Payroll (70%) and Finance Assistant (30%) position available for a candidate on a short term notice. This role is based in London but may have some travel involved towards Guildford. This role is permanent and onboarding will happen in the next few weeks.
Key responsibilities:
Payroll:
Receive and collate monthly payroll information, liaising with the outsourced payroll team
Process payroll BACS payments
Dealing with any payroll HMRC correspondence
Making relevant HMRC payments
Dealing with internal staff payroll queries
Reconciliation/check of the US payroll (twice-monthly)
Accounting:
Assisting the Management Accountant with Month End reporting & tasks such as preparing and posting journals
Preparing Accruals & Prepayments schedules
Fixed Assets
Reconciling month end balances in relation to payroll accounts
Other adhoc duties including analysis of payroll and other costs as necessary
To be succesful:
You will have had experience of running UK payroll and some experience with accounting.
You may have started, or want to start, studying towards an accountancy qualification.
Confident user of excel (pivot tables / vlookups) required"
266,London,Aston Charles,Junior/ Trainee Financial Adviser - London,"Ongoing mentoring – hands on support to ensure long-term success.
Marketing support – providing a regular, sustained flow of new clients and business…","This City based Wealth Manager offers an absolutely outstanding opportunity for newly qualified/ junior candidates to venture into a regulated advice role…
With an additional office in Reading, brought about through acquisition, as well as close links to an unrivalled global wealth management practice, this firm is exceptionally well positioned to achieve its ambitious growth plans in the coming years. In addition to its multi-site wealth management practice, this company boasts 2 accountancy practices and a mortgage brokerage under its umbrella, providing a regular stream of new business referrals for its Wealth Managers.
Whether you are coming from a completely unrelated industry, or perhaps working in an ancillary role within Financial Services – if you are Level 4 qualified, or close to obtaining qualification – this is a truly remarkable opportunity.
This firm will provide every tool you require to take the leap into an advice role…Financial backing to get through the ‘building’ phase – ensuring you can maintain your lifestyleIndividually tailored and bespoke development programme – ensuring you fulfil your potentialOngoing mentoring – hands on support to ensure long-term successOperational Support – ensuring you have the right processes in place to sustain successMarketing support – providing a regular, sustained flow of new clients and business opportunitiesInternal client referrals – provided by in house accountancy practices and mortgage brokerageAdmin/ Paraplanning support – allowing you to focus on clients and profit-making activities‘Right to Buy’ clause – giving the option to take full ownership of clients you have been referred
This is a tried and tested method – there are currently 30 different examples of success stories, at varying stages of this journey, all using this model!
No previous experience is required, as my client provides all the training, development and ongoing mentoring necessary to transition from a trainee to a successful Wealth Manager, over a long-term development programme.
You absolutely must possess a strong work ethic, a burning desire to be successful, and a hunger for self-development. Personality traits such as being dynamic, gregarious and tenacious will give you the best possible chance of success.
If the above sounds like you, and you have ambitions of becoming a successful Wealth Manager, regardless of background, please do not hesitate to apply.
Aston Charles - a personalised service from industry experts
Financial Services and General Insurance Recruitment"
267,London,Page Personnel - UK,Part Time Finance Assistant - Consultancy Brand,"Once payment run has been approved, mark invoices that have been paid and file.
Prepare bank payment on-line as indicated ready for approval.","My client is a consultancy business and one of the leaders in their specialism. Despite this role being based from home, their company and team culture is excellent.

Job Description
As the Part Time Finance Assistant you will be responsible for the following:

Reviewing received supplier/contractor invoice
Confirm that all invoices are signed/authorised by the appropriate member of the team
Uploading invoices to Xero
Once payment run has been approved, mark invoices that have been paid and file
Prepare bank payment on-line as indicated ready for approval
Ensuring copies of all purchase/supplier invoices are uploaded to server for soft copy archival
Pulling sales invoices from CMAP to Xero
Updating cashflow projections for month
Reconciling expenses - Expend payments and chasing copy receipts
Run aged receivables and other reports in Xero for Managing Director
Check in with Projects Controller re invoicing - any changes to billing schedule that would affect cashflow etc.
To be responsible for preparation of monthly, quarterly and annual accounts including review of risk, mitigation and opportunities
Accurate and timely monthly closing of financial statements
Pulling Xero data/reports for project invoicing, payment status, etc as needed to create client reports for Heads of Depts
The Successful Applicant
To be considered for this Part Time Finance Assistant role you must have the following:

Desire to work part time and work from home
Strong transactional accounting experience
Exposure to month end accounting
Xero experience highly desirable
What's on Offer
£20,000pa (£33,000 FTE) and excellent benefits"
268,London,The JM Group,Finance Analyst - Reconciliations,"The ideal Reconciliation Analyst will be responsible for reconciling the data between two systems.
Need to make sure the balances reconcile and they are the…","This is a 3 month contract role based in London

The ideal Reconciliation Analyst will be responsible for reconciling the data between two systems. Need to make sure the balances reconcile and they are the same. They need to understand the application of interest aaccruals etc. Understand data and be diligent and have good attention to detail.


To be successful in this role, you will have previously and most recently worked within the Banking Industry. In addition you will have held a role within the core Finance function with a focus on reconciliations and a strong understanding of balance sheet reconciliations. Ideally would also be working towards a professional qualification, ACCA, CIMA, ACA or AAT.

The JM Group is operating and advertising as an Employment Agency for permanent positions and as an Employment Business for interim / contract / temporary positions. The JM Group is an Equal Opportunities employer and we encourage applicants from all backgrounds."
269,London,Universal Business Team,Accounts Assistant,"The company is operationally excellent and enjoys great customer loyalty.
You will be responsible for performing daily accounting tasks that will support the…","A long-established and growing family-owned business is seeking an experienced Accounts Assistant to join their existing team.
The business has ambitious but realistic growth plans to achieve within three years. The company is operationally excellent and enjoys great customer loyalty.
You will be responsible for performing daily accounting tasks that will support the financial team. Accounting Assistant responsibilities include managing expense reports and reimbursements, entering financial transactions into our internal databases and reconciling invoices.

Responsibilities:

Reconcile invoices and identify discrepancies
Create and update expense reports
Process reimbursement forms
Prepare bank deposits
Enter financial transactions into internal databases
Check spreadsheets for accuracy
Maintain digital and physical financial records
Issue invoices to customers and external partners, as needed
Review and file payroll documents
Participate in quarterly and annual audits
Purchase/sales ledger
Credit control

Requirements:

Work experience as an Accounting Assistant or Accounting Clerk
Knowledge of basic bookkeeping procedures
Familiarity with finance regulations
Good math skills and the ability to spot numerical errors
Hands-on experience with MS Excel and accounting software (e.g. QuickBooks)
Strong organisation skills
Ability to handle sensitive, confidential information
AAT or equivalent desirable

Benefits:

Salary between £25,000 - £30,000 per annum DOE
Pension
Free on-site parking facilities

"
